timestamp,open,high,low,close,volume
2023-01-01 00:00:00,1.07,1.0705,1.0695,1.0701,100
2023-01-01 00:01:00,1.0701,1.0706,1.07,1.0704,110
2023-01-01 00:02:00,1.0704,1.0707,1.0703,1.0705,120
2023-01-01 00:03:00,1.0705,1.0708,1.0704,1.0706,130
2023-01-01 00:04:00,1.0706,1.0709,1.0705,1.0707,140
2023-01-01 00:05:00,1.0707,1.071,1.0706,1.0708,150
2023-01-01 00:06:00,1.0708,1.0711,1.0707,1.0709,160
2023-01-01 00:07:00,1.0709,1.0712,1.0708,1.071,170
2023-01-01 00:08:00,1.071,1.0713,1.0709,1.0711,180
2023-01-01 00:09:00,1.0711,1.0714,1.071,1.0712,190
2023-01-01 00:10:00,1.0712,1.0715,1.0711,1.0713,200
2023-01-01 00:11:00,1.0713,1.0716,1.0712,1.0714,210
2023-01-01 00:12:00,1.0714,1.0717,1.0713,1.0715,220
2023-01-01 00:13:00,1.0715,1.0718,1.0714,1.0716,230
2023-01-01 00:14:00,1.0716,1.0719,1.0715,1.0717,240
2023-01-01 00:15:00,1.0717,1.072,1.0716,1.0718,250
2023-01-01 00:16:00,1.0718,1.0721,1.0717,1.0719,260
2023-01-01 00:17:00,1.0719,1.0722,1.0718,1.072,270
2023-01-01 00:18:00,1.072,1.0723,1.0719,1.0721,280
2023-01-01 00:19:00,1.0721,1.0724,1.072,1.0722,290
2023-01-01 00:20:00,1.0722,1.0725,1.0721,1.0723,300
2023-01-01 00:21:00,1.0723,1.0726,1.0722,1.0724,310
2023-01-01 00:22:00,1.0724,1.0727,1.0723,1.0725,320
2023-01-01 00:23:00,1.0725,1.0728,1.0724,1.0726,330
2023-01-01 00:24:00,1.0726,1.0729,1.0725,1.0727,340
2023-01-01 00:25:00,1.0727,1.073,1.0726,1.0728,350
2023-01-01 00:26:00,1.0728,1.0731,1.0727,1.0729,360
2023-01-01 00:27:00,1.0729,1.0732,1.0728,1.073,370
2023-01-01 00:28:00,1.073,1.0733,1.0729,1.0731,380
2023-01-01 00:29:00,1.0731,1.0734,1.073,1.0732,390
2023-01-01 00:30:00,1.0732,1.0735,1.0731,1.0733,400
2023-01-01 00:31:00,1.0733,1.0736,1.0732,1.0734,410
2023-01-01 00:32:00,1.0734,1.0737,1.0733,1.0735,420
2023-01-01 00:33:00,1.0735,1.0738,1.0734,1.0736,430
2023-01-01 00:34:00,1.0736,1.0739,1.0735,1.0737,440
2023-01-01 00:35:00,1.0737,1.074,1.0736,1.0738,450
2023-01-01 00:36:00,1.0738,1.0741,1.0737,1.0739,460
2023-01-01 00:37:00,1.0739,1.0742,1.0738,1.074,470
2023-01-01 00:38:00,1.074,1.0743,1.0739,1.0741,480
2023-01-01 00:39:00,1.0741,1.0744,1.074,1.0742,490
2023-01-01 00:40:00,1.0742,1.0745,1.0741,1.0743,500
2023-01-01 00:41:00,1.0743,1.0746,1.0742,1.0744,510
2023-01-01 00:42:00,1.0744,1.0747,1.0743,1.0745,520
2023-01-01 00:43:00,1.0745,1.0748,1.0744,1.0746,530
2023-01-01 00:44:00,1.0746,1.0749,1.0745,1.0747,540
2023-01-01 00:45:00,1.0747,1.075,1.0746,1.0748,550
2023-01-01 00:46:00,1.0748,1.0751,1.0747,1.0749,560
2023-01-01 00:47:00,1.0749,1.0752,1.0748,1.075,570
2023-01-01 00:48:00,1.075,1.0753,1.0749,1.0751,580
2023-01-01 00:49:00,1.0751,1.0754,1.075,1.0752,590
2023-01-01 00:50:00,1.0752,1.0755,1.0751,1.0753,600
2023-01-01 00:51:00,1.0753,1.0756,1.0752,1.0754,610
2023-01-01 00:52:00,1.0754,1.0757,1.0753,1.0755,620
2023-01-01 00:53:00,1.0755,1.0758,1.0754,1.0756,630
2023-01-01 00:54:00,1.0756,1.0757,1.0755,1.0756,640
2023-01-01 00:55:00,1.0756,1.0757,1.0755,1.0756,650
2023-01-01 00:56:00,1.0756,1.0757,1.0755,1.0756,660
2023-01-01 00:57:00,1.0756,1.0757,1.0755,1.0756,670
2023-01-01 00:58:00,1.0756,1.0757,1.0755,1.0756,680
2023-01-01 00:59:00,1.0756,1.0757,1.0755,1.0756,690
2023-01-01 01:00:00,1.0756,1.0757,1.0755,1.0756,700
2023-01-01 01:01:00,1.0756,1.0757,1.0755,1.0756,700
2023-01-01 01:02:00,1.0756,1.0757,1.0755,1.0756,700
2023-01-01 01:03:00,1.0756,1.0757,1.0755,1.0756,700
2023-01-01 01:04:00,1.0756,1.0757,1.0755,1.0756,700
2023-01-01 01:05:00,1.0756,1.0757,1.0755,1.0756,700
2023-01-01 01:06:00,1.0756,1.0757,1.0755,1.0756,700
2023-01-01 01:07:00,1.0756,1.0757,1.0755,1.0756,700
2023-01-01 01:08:00,1.0756,1.0757,1.0755,1.0756,700
2023-01-01 01:09:00,1.0756,1.0757,1.0755,1.0756,700
2023-01-01 01:10:00,1.0756,1.0757,1.0755,1.0756,700
2023-01-01 01:11:00,1.0756,1.0757,1.0755,1.0756,700
2023-01-01 01:12:00,1.0756,1.0757,1.0755,1.0756,700
